user.screen_name,text,entities.urls.0.expanded_url
Orrudamiano,RT @CStelline: Il programma del #ConvegnoStelline https://t.co/yibBaG4c85 https://t.co/VqHp1UeU8T,http://www.convegnostelline.it/sessioni.php
derobbio,RT @CStelline: Il programma del #ConvegnoStelline https://t.co/yibBaG4c85 https://t.co/VqHp1UeU8T,http://www.convegnostelline.it/sessioni.php
CStelline,Il programma del #ConvegnoStelline https://t.co/yibBaG4c85 https://t.co/VqHp1UeU8T,http://www.convegnostelline.it/sessioni.php
Twt_Lab,RT @CStelline: Il programma del #ConvegnoStelline https://t.co/yibBaG4c85 https://t.co/VqHp1UeU8T,http://www.convegnostelline.it/sessioni.php
Orrudamiano,"RT @FondazioneBeic: #OpenData! Manca poco #ConvegnoStelline la #biblioteca sarà aperta, venite a trovarci https://t.co/W7qIQkWpzl… ",http://www.convegnostelline.it/workshop1.php?IdUnivoco=5
ParetoBiblio,"RT @FondazioneBeic: #OpenData! Manca poco #ConvegnoStelline la #biblioteca sarà aperta, venite a trovarci https://t.co/W7qIQkWpzl… ",http://www.convegnostelline.it/workshop1.php?IdUnivoco=5
M_L_O_L,Su consiglio di @danielebarca facciamo un giro sul sito dell'Istituto Comprensivo 3 di Modena https://t.co/V67ZYEq2VX =) #ConvegnoStelline,http://www.ic3modena.gov.it
MirkoBonanni,RT @M_L_O_L: Su consiglio di @danielebarca facciamo un giro sul sito dell'Istituto Comprensivo 3 di Modena https://t.co/V67ZYEq2VX =) #Conv…,http://www.ic3modena.gov.it
Twt_Lab,RT @M_L_O_L: Su consiglio di @danielebarca facciamo un giro sul sito dell'Istituto Comprensivo 3 di Modena https://t.co/V67ZYEq2VX =) #Conv…,http://www.ic3modena.gov.it
Twt_Lab,"RT @M_L_O_L: .@giulio_blasi ""ecco il nuovo portale #MLOL, rinnovato in tutto, a partire dalla grafica https://t.co/a0p5n6xQRf"" #ConvegnoSte…",http://www.medialibrary.it/home/cover.aspx
silfranck,"RT @M_L_O_L: .@giulio_blasi ""ecco il nuovo portale #MLOL, rinnovato in tutto, a partire dalla grafica https://t.co/a0p5n6xQRf"" #ConvegnoSte…",http://www.medialibrary.it/home/cover.aspx
M_L_O_L,".@giulio_blasi ""ecco il nuovo portale #MLOL, rinnovato in tutto, a partire dalla grafica https://t.co/a0p5n6xQRf"" #ConvegnoStelline",http://www.medialibrary.it/home/cover.aspx
salteditions,In bocca al lupo @mlolplus e @M_L_O_L per il #convegnostelline di oggi! Vi siamo vicini come al solito - https://t.co/z6pY73PF0l,http://www.salteditions.it/mlol-plus-la-rivoluzione-digitale-delle-biblioteche/
Twt_Lab,RT @trendinaliaIT: #ConvegnoStelline è stato in Tendenza per 11 ore in Italy giovedì 16: https://t.co/3pdjb3svbu #trndnl,http://www.trendinalia.com/twitter-trending-topics/italy/italy-170316.html
trendinaliaIT,#ConvegnoStelline è stato in Tendenza per 11 ore in Italy giovedì 16: https://t.co/3pdjb3svbu #trndnl,http://www.trendinalia.com/twitter-trending-topics/italy/italy-170316.html
